file1 file2 intersection union jaccard n_intersections
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 44050955 168023148 0.262172 82714
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 36256952 164158003 0.220866 71222
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 51388307 184773939 0.278114 90969
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 56946460 196390661 0.289965 96749
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 52910146 185231966 0.285643 92073
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 47674358 170040428 0.280371 84511
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 47521137 173664890 0.273637 85260
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 47715028 174219540 0.273879 89153
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 45944416 172846176 0.265811 84912
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 49191653 196345127 0.250537 87873
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 24067446 154326307 0.155952 66564
fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 36969426 148411790 0.2491 84759
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 40597416 178658657 0.227235 81191
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 44720983 197783620 0.226111 69729
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 87322785 142567240 0.612503 133631
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 81269248 160493950 0.50637 130852
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 127821837 127821837 1 172723
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 51203880 189452697 0.270273 86474
fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 35305111 155913195 0.226441 67177
