resource	assembly	marker	identifier	cell_type	processed_file_download_url
Roadmap	hg19	H3K4me3	NGRMPKMI2E3Q6O	Mucosa	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Duodenum_Mucosa.H3K4me3.61.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKNAWTIVGE	Ventricle	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.Right_Ventricle.H3K4me3.STL003.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKNJ4UWL66	Epithelial cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UCSF-UBC.Breast_vHMEC.H3K4me3.RM035.HS2615.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKOUA7VOTC	Esophagus	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/2/UCSD.Esophagus.H3K4me3.STL003.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKSKGNPCCX	Mesendoderm	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_BMP4_Derived_Mesendoderm_Cultured_Cells.H3K4me3.AK165.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKT4CBTOLA	iPS-18c	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.iPS-18c.H3K4me3.Solexa-15173.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKUN5YINDF	CD4+ naive	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.CD4_Naive_Primary_Cells.H3K4me3.Donor_101_8_pooled_leukopaks_Jan_20_2011.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKUQLTQTND	HUES6	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.HUES6.H3K4me3.Lib_XZ_20101004_09--ChIP_XZ_20100930_09_ES_cell_HUES_6_H3K4Me3.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKVLNDBISQ	Adipose	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.Adipose_Nuclei.H3K4me3.7.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKXC65X54F	Fibroblast	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UCSF-UBC.Breast_Fibroblast_Primary_Cells.H3K4me3.RM071.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKZ2FBOHOV	CD8+ T cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UW.CD8_Primary_Cells.H3K4me3.RO_01679.Histone.DS21778.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKZ5WDFEFV	Mobilized CD34+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.Mobilized_CD34_Primary_Cells.H3K4me3.Mobilized_CD34_5_28_09.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKZILQYAVJ	CD15+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.CD15_Primary_Cells.H3K4me3.23.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPKZM4YGVHR	T regulatory cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/BI.Treg_Primary_Cells.H3K4me3.20.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPL2Q24P5MV	Mesenchymal stem cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSD.H1_Derived_Mesenchymal_Stem_Cells.H3K4me3.SK467.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPL5OZUPSOU	UCSF-4star	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/UCSF-UBC.UCSF-4Star.H3K4me3.A19297.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPL7S354VUO	Neuronal progenitor cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.H9_Derived_Neuronal_Progenitor_Cultured_Cells.H3K4me3.113.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLAXZEOPYZ	CD15+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.CD15_Primary_Cells.H3K4me3.23.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLCHNAMQTK	iPS-20b	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/narrowpeak/hg19/BI.iPS-20b.H3K4me3.Lib_MC_20100119_05--ChIP_MC_20100113_05_hiPS-20b_H3K4Me3.narrowPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLCLF7NXO3	Pancreatic islets	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/BI.Pancreatic_Islets.H3K4me3.pancreatic_islets_normal_3_27_09.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLCTEOP57Z	Adipose	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/BI.Adipose_Nuclei.H3K4me3.93.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLE6EAW22J	Liver	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.Adult_Liver.H3K4me3.3.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLFATON6RO	Melanocyte	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSF-UBC.Penis_Foreskin_Melanocyte_Primary_Cells.H3K4me3.skin02.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLH5N5HNQL	CD184+ endoderm cell	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/gappedpeak/hg19/BI.hESC_Derived_CD184+_Endoderm_Cultured_Cells.H3K4me3.DNA_Lib_241.gappedPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLHBAQMQYE	iPS DF 6	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/3/UCSD.iPS_DF_6.9.H3K4me3.SK398.broadPeak.bed.gz
Roadmap	hg19	H3K4me3	NGRMPLK2H7RILV	CD14+	https://tf.lisanwanglab.org/GADB/Annotationtracks/RoadMap/ChIP-seq/broadpeak/hg19/1/UW.CD14_Primary_Cells.H3K4me3.RO_01701.Histone.DS21707.broadPeak.bed.gz
