seed,peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie,matrix,rank_ie
99,narrow,k35_w35,35,35,18,54,0.9067716599471126,0.34102101004828395,0.5657506498988287,True,0.9025864069335918,0.32502291877582395,0.5775634881577678,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k35_w35/exp_a_mnmzr_p24_jaccD_k35_w35_rehash-selector64_full.csv,21
99,narrow,k35_w40,35,40,18,54,0.9049257996153418,0.3389416760734359,0.5659841235419059,True,0.9011982353503492,0.3248018226559222,0.576396412694427,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k35_w40/exp_a_mnmzr_p24_jaccD_k35_w40_rehash-selector64_full.csv,22
99,narrow,k35_w50,35,50,18,54,0.9015520333713705,0.3359006160255832,0.5656514173457873,True,0.8984869730072644,0.32450470948980653,0.5739822635174578,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k35_w50/exp_a_mnmzr_p24_jaccD_k35_w50_rehash-selector64_full.csv,24
99,narrow,k35_w60,35,60,18,54,0.8987515429432189,0.3338986144924668,0.5648529284507521,True,0.8961187104442347,0.32441124256941545,0.5717074678748193,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k35_w60/exp_a_mnmzr_p24_jaccD_k35_w60_rehash-selector64_full.csv,25
99,narrow,k35_w75,35,75,18,54,0.8948152365823433,0.3312598516378373,0.5635553849445061,True,0.8926638408424739,0.3236702161672726,0.5689936246752012,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k35_w75/exp_a_mnmzr_p24_jaccD_k35_w75_rehash-selector64_full.csv,27
99,narrow,k40_w40,40,40,18,54,0.8969360488089099,0.3375606393322819,0.5593754094766279,True,0.892944175639725,0.3237217043893481,0.5692224712503768,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k40_w40/exp_a_mnmzr_p24_jaccD_k40_w40_rehash-selector64_full.csv,26
99,narrow,k40_w50,40,50,18,54,0.8934884496215241,0.33446022419538085,0.5590282254261432,True,0.8901707843939285,0.3232383674373597,0.5669324169565688,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k40_w50/exp_a_mnmzr_p24_jaccD_k40_w50_rehash-selector64_full.csv,28
99,narrow,k40_w60,40,60,18,54,0.8903454942675405,0.3321022134112938,0.5582432808562467,True,0.8874482939291192,0.3227158461933144,0.5647324477358048,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k40_w60/exp_a_mnmzr_p24_jaccD_k40_w60_rehash-selector64_full.csv,29
99,narrow,k40_w75,40,75,18,54,0.8863444300892916,0.3296520823328015,0.5566923477564901,True,0.8839668718637312,0.3221347405995126,0.5618321312642187,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k40_w75/exp_a_mnmzr_p24_jaccD_k40_w75_rehash-selector64_full.csv,30
99,narrow,k50_w50,50,50,18,54,0.8783623173744343,0.3318554732457861,0.5465068441286481,True,0.8745639152071293,0.31867951361097113,0.5558844015961582,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k50_w50/exp_a_mnmzr_p24_jaccD_k50_w50_rehash-selector64_full.csv,35
99,narrow,k50_w60,50,60,18,54,0.8752244085476545,0.32998008237657583,0.5452443261710787,True,0.8719987779356114,0.3178382718727326,0.5541605060628788,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k50_w60/exp_a_mnmzr_p24_jaccD_k50_w60_rehash-selector64_full.csv,36
99,narrow,k50_w75,50,75,18,54,0.8710921949026359,0.3276843081706888,0.5434078867319472,True,0.8683998442881928,0.31667826739118765,0.5517215768970052,True,/vast/blangme2/jbonnie/hammock/claude-ref-comparison/results/exp_a_rehash_selector64/seed99/narrow/k50_w75/exp_a_mnmzr_p24_jaccD_k50_w75_rehash-selector64_full.csv,39
