peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie
broad,k20_w20,20,20,18,54,0.9046783773417972,0.37208551985769595,0.5325928574841015,TRUE,0.8965299189161728,0.33333026763686363,0.5631996512793092,TRUE
broad,k20_w25,20,25,18,54,0.9018798688426306,0.36488966229310055,0.53699020654953,TRUE,0.895145837286447,0.3331259131353309,0.5620199241511161,TRUE
broad,k20_w30,20,30,18,54,0.899655047118393,0.3598082695667151,0.5398467775516779,TRUE,0.8938671964488117,0.3330098203697706,0.5608573760790412,TRUE
broad,k20_w35,20,35,18,54,0.8977869188401362,0.35593518051713136,0.5418517383230048,TRUE,0.8926783063608456,0.33296764160818687,0.5597106647526586,TRUE
broad,k20_w40,20,40,18,54,0.8961407798606242,0.35286555653178076,0.5432752233288435,TRUE,0.8915822488338365,0.3329665568617214,0.5586156919721151,TRUE
broad,k20_w50,20,50,18,54,0.8934513437948578,0.3483361636207805,0.5451151801740772,TRUE,0.8897476998939716,0.3329308956223098,0.5568168042716618,TRUE
broad,k20_w60,20,60,18,54,0.8915239393626075,0.34570382710096004,0.5458201122616475,TRUE,0.8883572676231034,0.3328990330723709,0.5554582345507325,TRUE
broad,k20_w75,20,75,18,54,0.8891796620382819,0.3429131871968843,0.5462664748413977,TRUE,0.8865445791185634,0.33260947515639555,0.5539351039621678,TRUE
broad,k25_w25,25,25,18,54,0.8938153336889006,0.3600206911979345,0.5337946424909661,TRUE,0.8864126464051268,0.32885596666781924,0.5575566797373076,TRUE
broad,k25_w30,25,30,18,54,0.8913453915723465,0.3552407407122001,0.5361046508601464,TRUE,0.8849578380828077,0.328894713549657,0.5560631245331507,TRUE
broad,k25_w35,25,35,18,54,0.8892118712895384,0.35169867103487623,0.5375132002546621,TRUE,0.8836022035272391,0.32892124259635724,0.5546809609308818,TRUE
broad,k25_w40,25,40,18,54,0.8874594704467743,0.34897201620712226,0.538487454239652,TRUE,0.8824793240843042,0.32899223025528757,0.5534870938290166,TRUE
broad,k25_w50,25,50,18,54,0.8844656332825407,0.3450286081025529,0.5394370251799878,TRUE,0.8803305839172394,0.3289750452479279,0.5513555386693114,TRUE
broad,k25_w60,25,60,18,54,0.8820518888458243,0.342388727865942,0.5396631609798823,TRUE,0.8784925942891912,0.32910486246217957,0.5493877318270117,TRUE
broad,k25_w75,25,75,18,54,0.8791155582249246,0.3396162046585383,0.5394993535663863,TRUE,0.8761735901456005,0.32907250801321747,0.547101082132383,TRUE
broad,k30_w30,30,30,18,54,0.8832990164196619,0.3534373287305386,0.5298616876891233,TRUE,0.8763046095013464,0.3269389966573568,0.5493656128439895,TRUE
broad,k30_w35,30,35,18,54,0.8810011845547032,0.34975478836390933,0.5312463961907938,TRUE,0.874807983638003,0.32679869382964716,0.548009289808356,TRUE
broad,k30_w40,30,40,18,54,0.879003661240361,0.3469374622204852,0.5320661990198758,TRUE,0.8734739251660995,0.326758610678811,0.5467153144872885,TRUE
broad,k30_w50,30,50,18,54,0.8756811696379033,0.34305817602301286,0.5326229936148905,TRUE,0.8711988458243697,0.32691755822611623,0.5442812875982534,TRUE
broad,k30_w60,30,60,18,54,0.8729366721071959,0.3403072423148933,0.5326294297923027,TRUE,0.869111994631569,0.3268748751426052,0.5422371194889637,TRUE
broad,k30_w75,30,75,18,54,0.8695970466291075,0.33733919390948164,0.5322578527196259,TRUE,0.8664760599437691,0.3266494390339814,0.5398266209097877,TRUE
broad,k35_w35,35,35,18,54,0.8736623821920741,0.34812527098714774,0.5255371112049264,TRUE,0.867096225520373,0.325131031814606,0.541965193705767,TRUE
broad,k35_w40,35,40,18,54,0.8717136802492224,0.34538413271192425,0.5263295475372981,TRUE,0.865868650102203,0.3250991740283881,0.5407694760738149,TRUE
