precision,num_files,build,arm,run_index,order_position,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,wall_time,cpu_time,max_rss_mb,us_per_pair,binary_md5,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,corpus_seed
18,64,post,no_metrics,0,2,16,10000,4096,7.82492,0.053193,0.051887,0.001305,7.885787487030029,124.10796200000011,41.17578125,12.667724609375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,metrics,0,3,16,10000,4096,7.829274,0.090053,0.083143,0.00691,7.927491903305054,124.70652200000052,41.17578125,20.298583984375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,no_metrics,1,0,16,10000,4096,7.819607,0.053054,0.051713,0.001341,7.879749774932861,123.98802399999995,41.15234375,12.625244140625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,metrics,1,1,16,10000,4096,7.813982,0.145536,0.138637,0.006899,7.967632055282593,125.35202499999983,41.17578125,33.846923828125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,metrics,1,2,16,10000,4096,7.821451,0.089955,0.083114,0.00684,7.918804407119751,124.59308399999945,41.16796875,20.29150390625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,no_metrics,1,3,16,10000,4096,7.826413,0.053906,0.052614,0.001291,7.888896226882935,124.0994050000008,41.16796875,12.84521484375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,no_metrics,2,0,16,10000,4096,7.8211,0.054268,0.052926,0.001342,7.882325887680054,124.03596499999911,41.14453125,12.92138671875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,no_metrics,2,1,16,10000,4096,7.826056,0.053611,0.052272,0.001338,7.887589693069458,124.12053100000078,41.17578125,12.76171875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,metrics,2,2,16,10000,4096,7.816392,0.14581,0.138904,0.006905,7.969916582107544,125.39828499999994,41.15234375,33.912109375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,metrics,2,3,16,10000,4096,7.82091,0.090286,0.08339,0.006896,7.918889045715332,124.59893499999963,41.15234375,20.35888671875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,no_metrics,3,0,16,10000,4096,7.819398,0.054014,0.052697,0.001317,7.880316734313965,124.0233550000005,41.17578125,12.865478515625,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,no_metrics,3,1,16,10000,4096,7.822975,0.053987,0.05267,0.001316,7.884779691696167,124.0789349999998,41.16796875,12.85888671875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,metrics,3,2,16,10000,4096,7.828406,0.090697,0.083816,0.006881,7.9264442920684814,124.69454000000023,41.16796875,20.462890625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,metrics,3,3,16,10000,4096,7.817307,0.145398,0.138483,0.006914,7.971684217453003,125.39150799999932,41.14453125,33.809326171875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,no_metrics,4,0,16,10000,4096,7.817008,0.053661,0.052309,0.001352,7.877665758132935,123.98119400000016,41.15234375,12.770751953125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,metrics,4,1,16,10000,4096,7.819779,0.090107,0.083174,0.006933,7.917553901672363,124.5733450000003,41.16796875,20.30615234375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,pre,metrics,4,2,16,10000,4096,7.812077,0.14563,0.138684,0.006946,7.965375661849976,125.33766500000007,41.15234375,33.8583984375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
18,64,post,no_metrics,4,3,16,10000,4096,7.825934,0.053668,0.052367,0.001301,7.886947870254517,124.13526899999931,41.16796875,12.784912109375,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,no_metrics,0,0,16,10000,4096,12.853799,0.210865,0.20948,0.001385,13.080251693725586,170.1684290000006,149.23046875,51.142578125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
