file1,file2,sketch_type,mode,precision,num_hashes,kmer_size,window_size,jaccard_similarity,jaccard_similarity_ie,containment_AB,containment_BA,cosketch_geom,cosketch_arith,cosketch_max
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.6153201598310661,0.5020708867205692,0.707278328609095,0.6337617283914411,0.6695117146048377,0.670520028500268,0.707278328609095
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.7024402618408203,0.6126064351116972,0.8555723892013988,0.6832648880516717,0.7645799975985476,0.7694186386265353,0.8555723892013988
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.42228472232818604,0.2748387958285736,0.4539790770156592,0.41055085735693037,0.43171923664678974,0.4322649671862948,0.4539790770156592
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3909708261489868,0.25228321645319196,0.32660584309582136,0.5257610908276049,0.4143870706679066,0.42618346696171316,0.5257610908276049
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.40951447600298835,0.2596532115456607,0.4085594603633942,0.4160310822762881,0.4122783458650225,0.4122952713198411,0.4160310822762881
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.42681407928466797,0.2793159583696607,0.42829197801061,0.44537097827311734,0.4367480019795326,0.4368314781418636,0.44537097827311734
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.3968172073364258,0.24719356460367753,0.3661924383722185,0.4320385729726648,0.39775527464474153,0.39911550567244164,0.4320385729726648
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.4476008415222168,0.30491480446352587,0.513437457374605,0.428826078705283,0.46922848539529516,0.471131768039944,0.513437457374605
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.4585610628128052,0.32163386244652076,0.5758199264814352,0.4215014058262,0.4926549588856932,0.4986606661538176,0.5758199264814352
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.4634593725204468,0.323506085770974,0.5417973610450515,0.44535029745507604,0.49121239388047705,0.49357382925006377,0.5417973610450515
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.46869194507598877,0.32727717943534695,0.4973244705381884,0.48905631464767524,0.4931730657137642,0.49319039259293185,0.4973244705381884
fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed,fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed,hyperloglog,B,23,NA,8,40,0.46457791328430176,0.3226538866340903,0.5003502672132624,0.47603261532870306,0.4880400047966813,0.4881914412709827,0.5003502672132624
