Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR305UJX	ENCFF730ORU		heart	Homo sapiens
ENCSR026EOM	ENCFF291KDT		brain	Homo sapiens
ENCSR866RCY	ENCFF522YCT		adrenal gland	Homo sapiens
ENCSR138UGH	ENCFF172OPL		ovary	Homo sapiens
ENCSR344FLH	ENCFF460YFR		brain	Homo sapiens
ENCSR277KRY	ENCFF111KHO		adrenal gland	Homo sapiens
ENCSR187PYY	ENCFF572DGX		brain	Homo sapiens
ENCSR141IUS	ENCFF692WOM		lung	Homo sapiens
ENCSR726YMS	ENCFF643YMU		stomach	Homo sapiens
ENCSR856QJX	ENCFF744JJO		adrenal gland	Homo sapiens
ENCSR499PZA	ENCFF302YHA		kidney	Homo sapiens
ENCSR507GFJ	ENCFF561NZD		brain	Homo sapiens
ENCSR066WZJ	ENCFF723TSB		kidney	Homo sapiens
ENCSR076YBB	ENCFF778XBV		lung	Homo sapiens
ENCSR174JMM	ENCFF821EUZ		heart	Homo sapiens
ENCSR342NCX	ENCFF608DZT		thymus	Homo sapiens
ENCSR706IDL	ENCFF740RSJ		midbrain	Homo sapiens
ENCSR419MZH	ENCFF101DAL		adrenal gland	Homo sapiens
ENCSR177NIJ	ENCFF221TMD		stomach	Homo sapiens
ENCSR762FCX	ENCFF069ANX		large intestine	Homo sapiens
ENCSR986XLW	ENCFF691GQY		lung	Homo sapiens
ENCSR330ZBO	ENCFF199AYL		ovary	Homo sapiens
ENCSR792ZXA	ENCFF464MIT		kidney	Homo sapiens
ENCSR947POC	ENCFF276VUP		brain	Homo sapiens
ENCSR320PGJ	ENCFF993OIN		heart	Homo sapiens
ENCSR435NHO	ENCFF169ISM		embryonic facial prominence	Homo sapiens
ENCSR800QGE	ENCFF920IPJ		large intestine	Homo sapiens
ENCSR757EPJ	ENCFF989JWT		kidney	Homo sapiens
ENCSR282QFE	ENCFF520NPY		stomach	Homo sapiens
ENCSR595CSH	ENCFF876GOT		brain	Homo sapiens
ENCSR804RSI	ENCFF944OVS		heart	Homo sapiens
ENCSR597UIG	ENCFF891FHW		spleen	Homo sapiens
ENCSR060BFU	ENCFF949ZRW		adrenal gland	Homo sapiens
ENCSR749BWV	ENCFF744ZUS		heart	Homo sapiens
ENCSR214QEO	ENCFF180VCG		large intestine	Homo sapiens
ENCSR006IJP	ENCFF266NXE		lung	Homo sapiens
ENCSR154ZNQ	ENCFF271ZLC		heart	Homo sapiens
ENCSR172PVJ	ENCFF003ISR		stomach	Homo sapiens
ENCSR946OIO	ENCFF523NCT		spleen	Homo sapiens
