Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR482PMN	ENCFF396TUD	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF655NZF	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF041QTD	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF106YQM	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF518NZX	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF183ZPD	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF093KIY	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF380QFL	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF887GWM	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF540DVR	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF250RMB	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF756YET	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF535KXO	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF966MHV	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF799EGI	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF101RDN	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF827QSE	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF047BEO	CTCF	spleen	Homo sapiens
ENCSR482PMN	ENCFF077XIZ	CTCF	spleen	Homo sapiens
ENCSR776AEL	ENCFF278ZFA	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF372GPW	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF881VQU	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF080WMH	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF279PAT	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF780OIC	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF828UBR	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF142PDO	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF277ANO	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF870YEI	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF413OBX	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF651QPL	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF896ZBU	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF848ZIL	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF114IFZ	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF201JTI	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF170WTD	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF831BFL	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF096TXP	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF346VUJ	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF989IYN	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF873HAS	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF698RLK	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF342TIG	CTCF	stomach	Homo sapiens
ENCSR776AEL	ENCFF054NXY	CTCF	stomach	Homo sapiens
ENCSR000CBV	ENCFF001LNI	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001LNK	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001LNL	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001LNM	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001LNS	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001LNT	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF001YAO	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF864IVP	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF554XVK	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF597HPS	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF654LDN	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF745HUF	CTCF	lung	Mus musculus
ENCSR000CBV	ENCFF839JQI	CTCF	lung	Mus musculus
