"accession","species","tissue"
"ENCFF415RKU","Homo_sapiens","stomach"
"ENCFF415SIT","Mus_musculus","kidney"
"ENCFF419LXL","Mus_musculus","stomach"
"ENCFF419PZT","Mus_musculus","liver"
"ENCFF419SOV","Homo_sapiens","kidney"
"ENCFF421YAC","Mus_musculus","liver"
"ENCFF424EWG","Mus_musculus","stomach"
"ENCFF425ONB","Homo_sapiens","lung"
"ENCFF425VDH","Mus_musculus","lung"
"ENCFF427HTC","Mus_musculus","lung"
"ENCFF430LEZ","Mus_musculus","liver"
"ENCFF430VEQ","Homo_sapiens","stomach"
"ENCFF432EKD","Mus_musculus","liver"
"ENCFF432UIG","Mus_musculus","stomach"
"ENCFF433XDF","Mus_musculus","kidney"
"ENCFF435JGG","Homo_sapiens","liver"
"ENCFF435PTI","Mus_musculus","lung"
"ENCFF437GNH","Mus_musculus","lung"
"ENCFF440IDQ","Homo_sapiens","lung"
"ENCFF442KCP","Mus_musculus","stomach"
"ENCFF443CNR","Mus_musculus","stomach"
"ENCFF443PRW","Mus_musculus","liver"
"ENCFF446XWP","Mus_musculus","kidney"
"ENCFF447BVP","Mus_musculus","stomach"
"ENCFF447UQW","Mus_musculus","stomach"
"ENCFF448CFJ","Mus_musculus","lung"
"ENCFF449OFP","Mus_musculus","kidney"
"ENCFF450YYQ","Mus_musculus","liver"
"ENCFF451OAM","Mus_musculus","liver"
"ENCFF451UFN","Mus_musculus","cerebellum"
"ENCFF453XGY","Mus_musculus","lung"
"ENCFF454RKA","Mus_musculus","lung"
"ENCFF455LLD","Mus_musculus","stomach"
"ENCFF455SAX","Mus_musculus","liver"
"ENCFF456HCD","Mus_musculus","liver"
"ENCFF456QXH","Mus_musculus","cerebellum"
"ENCFF457XBG","Mus_musculus","stomach"
"ENCFF458BLU","Mus_musculus","liver"
"ENCFF459FTD","Homo_sapiens","lung"
"ENCFF459ZEM","Mus_musculus","lung"
"ENCFF461ARO","Mus_musculus","kidney"
"ENCFF461DWM","Mus_musculus","liver"
"ENCFF461GZI","Homo_sapiens","kidney"
"ENCFF463ARQ","Mus_musculus","liver"
"ENCFF463IAC","Mus_musculus","liver"
"ENCFF468JDL","Mus_musculus","stomach"
"ENCFF468ZJM","Mus_musculus","liver"
"ENCFF469YZA","Mus_musculus","stomach"
"ENCFF470CZJ","Mus_musculus","liver"
"ENCFF471NMN","Mus_musculus","liver"
"ENCFF472AIH","Mus_musculus","lung"
"ENCFF472VLA","Mus_musculus","liver"
"ENCFF472XND","Mus_musculus","liver"
"ENCFF474TZO","Homo_sapiens","kidney"
"ENCFF477SZP","Mus_musculus","kidney"
"ENCFF477WHD","Mus_musculus","liver"
"ENCFF478LVH","Homo_sapiens","cerebellum"
"ENCFF478ZNT","Mus_musculus","lung"
"ENCFF479CWC","Mus_musculus","liver"
"ENCFF479MUA","Homo_sapiens","liver"
"ENCFF482LTD","Mus_musculus","cerebellum"
"ENCFF484TGR","Mus_musculus","stomach"
"ENCFF487LJH","Mus_musculus","liver"
"ENCFF488BRH","Homo_sapiens","liver"
"ENCFF489ORF","Homo_sapiens","cerebellum"
"ENCFF489XAT","Mus_musculus","liver"
"ENCFF492WGC","Homo_sapiens","stomach"
"ENCFF493KQI","Homo_sapiens","kidney"
"ENCFF493TJM","Mus_musculus","stomach"
"ENCFF494CDB","Homo_sapiens","lung"
"ENCFF495AWE","Mus_musculus","kidney"
"ENCFF495CJT","Mus_musculus","liver"
"ENCFF495TYY","Homo_sapiens","lung"
"ENCFF496TLG","Mus_musculus","lung"
"ENCFF498GZN","Mus_musculus","stomach"
"ENCFF501GHZ","Mus_musculus","stomach"
"ENCFF502VLM","Mus_musculus","lung"
"ENCFF504EBV","Mus_musculus","kidney"
"ENCFF507JGW","Mus_musculus","stomach"
"ENCFF507PMH","Mus_musculus","liver"
"ENCFF507ZEN","Mus_musculus","liver"
"ENCFF509EFK","Mus_musculus","liver"
"ENCFF509TIG","Mus_musculus","lung"
"ENCFF514NEW","Mus_musculus","kidney"
"ENCFF515IHW","Mus_musculus","kidney"
"ENCFF515NPO","Mus_musculus","stomach"
